episode index,list index,imdb id,spotify id,type,date,,
55,196,112471,3OsQ2UtZgsSVizE4jVKFby,a,06/04/21,,
55.5,B11,5104604,2TH7ZevVeyJn5JxjzPhhSm,b,13/04/21,,
56,195,60827,7nNVmi6JU8f9jj5paYP6Gj,a,20/04/21,,
57,194,15324,3A7LvA5iL30PFm5y730elz,a,27/04/21,,
58,193,2278388,0HllTlY7wnOZET1AZm1RHx,a,04/05/21,,
59,192,17925,1QBFk1qsMpCQ0l0QNDcFgW,a,11/05/21,,
60,191,892769,3qASZTm1F4sCexejEI2Vd5,a,18/05/21,,
60.5,B12,1706620,5JEg3l2Jt6wspHX5EYP0dC,b,25/05/21,,
61,190,31679,67t1VDMdIblgSHQEH8v4Nm,a,01/06/21,,
62,189,353969,29AEfMyo9MOACijo63qlbs,a,08/06/21,,
63,188,2119532,1ToRjWvIhwxuby9kLTKxP6,a,15/06/21,,
64,187,2267998,7oTKBeme4RtDyXM54Z1ZRh,a,22/06/21,,
65,186,107207,1uPyzk3iotWUIyLo31j1LP,a,29/06/21,,
65.5,B13,6723592,66QGt9mVPDeaEsIgjb1mwC,b,06/07/21,,
66,185,978762,5WU6hGIeo7xZ8x1Nq6R8Ym,a,13/07/21,,
66.1,I1,,6XEL4Rbd5KMqqBRFQlXWBh,I,20/07/21,,
67,184,3011894,2eSuD7b6bVxRhstkQSM0aG,a,27/07/21,,
68,183,118715,2WLVo1S3VPqwkEtL63Ldyl,a,03/08/21,,
69,182,79944,5ztvlQ4aq8TgCeAOT9vLKJ,a,10/08/21,,
70,181,120382,0oGDQeRYDrR6zhJ2ePk43x,a,17/08/21,,
70.5,B14,6334354,0xjdIldGl3Fp1F2VzIHNTk,b,24/08/21,,
71,180,46438,0Ai48J8KR09IWU20ucqWmA,a,31/08/21,,
72,179,77416,4FOoo8CnnjxiERZhnSGZwL,a,07/09/21,,
73,178,116231,08FtjTrcnmqhrGQYXamv9y,a,14/09/21,,
74,177,266697,69911MR806lr3PF0dQXtSv,a,21/09/21,,
75,176,4729430,7bv1G4v14AE2KnbN1Vo1MD,a,28/09/21,,
75.5,B15,9243804,3r3MheJCaoZLJ4p7MEWlwo,b,05/10/21,,
76,175,1205489,172Lwuaooc1fSnBSLfglIg,a,12/10/21,,
77,174,116282,1msGJqQH4Ee5i9YfdLVSdB,a,19/10/21,,
78,173,8108198,68jozgeqQ4ydNiNlI7htYw,a,26/10/21,,
79,172,50986,0sr5CMtSyXyQ2wwGZwIaPg,a,02/11/21,,
80,171,266543,4VivzPXdZBPi7M0oryEHH0,a,09/11/21,,
80.5,B16,382932,5qum7R44AEE0UxcL7W7uTH,b,16/11/21,,
81,170,47296,4ztDYDEhwYTCogE7p8EhgC,a,23/11/21,,
82,169,107290,42wBakCUv6E50SFtRGvRaS,a,30/11/21,,
83,168,41959,1Rrb98Og8UvZB4DzzYGIiU,a,07/12/21,,
84,167,1856101,2q8pQIPwXNPsmnmkEOjzIS,a,14/12/21,,
85,166,50212,2Ks4yMtc3hd4gVxurFE8BR,a,21/12/21,,
85.5,B17,1856101,1pj0sGb9fW5exOsj68Q4cQ,b,28/12/21,,
85.1,C2,,79L3hWAaIw25QVJsb4t5kA,c,11/01/22,,
86,165,31381,4QBIN0IHb1q0XmAwK1Ptqz,a,04/01/22,,
87,164,84787,4y5g3qkfKobFjVUPepSRBP,a,18/01/22,,
88,163,7653254,68gRC3NePo1gjDtSRr0O1k,a,25/01/22,,
89,162,167404,6jQOQ1q495iX8BrTGtpINt,a,01/02/22,,
90,161,1130884,09GSuU801FU7sJCBrtT37e,a,08/02/22,,
90.5,B18,,1HTmhIt5urs2XKxLl90YN7,b,15/02/22,,
91,160,3170832,2A4ny0npeo3xljGjUKuuiA,a,22/02/22,,
92,159,80678,3zkMxYzwm8c68BkGTOORom,a,01/03/22,,
93,158,117951,3YMjj9UnZuSDGiI9jUk3pN,a,08/03/22,,
94,157,477348,40aEkMiZuz6hWLqYpHTcmc,a,15/03/22,,
95,156,1291584,5HIFy2Y2GB6UzwgNDOn9Hu,a,22/03/22,,
95.5,B19,,12OZiYg0rzGzrmDrznJw6e,b,29/03/22,,
